Eid,Python,Machine Learning,Deep Learning,Data Analysis,Asp.Net,Ado.Net,VB.Net,C#,Java,Spring Boot,Hibernate,NLP,CV,JS,React,Node,Angular,Dart,Flutter,Vb.Net,Ename,Experience,Total_projects,Rating,Area_of_Interest_1,Area_of_Interest_2,Area_of_Interest_3,Language1,Language2,Language3,AI_project_count,ML_project_count,JS_project_count,Java_project_count,DotNet_project_count,Mobile_project_count
1,1,1,1,1,1,1,0,1,1,0,0,1,1,3,3,3,3,0,0,1,Dana Bond,2,2,1.0,DotNet,JS,AI,English,Hindi,Tamil,0,1,1,0,0,0
2,1,1,1,1,4,4,0,4,1,1,1,3,3,1,1,1,1,1,1,4,Jesus Hampton,9,13,1.4444444444444444,DotNet,AI,JS,English,Hindi,Malayalam,4,3,0,2,3,1
3,4,4,4,4,1,1,0,1,2,2,2,1,1,3,3,3,3,1,1,1,Teresa Munoz,15,16,1.0666666666666669,ML,JS,Java,English,Kannada,Chinese,3,3,1,3,5,1
4,3,3,3,3,4,4,0,4,1,1,1,1,1,1,1,1,1,2,2,4,Annette Dipietro,18,19,1.0555555555555556,DotNet,ML,Mobile,English,Chinese,Tamil,4,4,2,3,3,3
5,1,1,1,1,1,1,0,1,3,3,3,1,1,2,2,2,2,4,4,1,Jennifer Fortner,22,15,0.6818181818181818,Mobile,Java,JS,English,Chinese,Telugu,3,4,3,1,1,3
6,2,2,2,2,1,1,0,1,3,3,3,4,4,1,1,1,1,1,1,1,Mary Todd,7,13,1.8571428571428568,AI,Java,ML,English,Chinese,Hindi,2,5,1,1,1,3
7,1,0,0,0,1,1,0,1,1,0,0,4,4,1,1,1,1,1,1,1,Nicolas Fulcher,2,2,1.0,AI,Mobile,DotNet,English,Hindi,Telugu,1,0,1,0,0,0
8,1,0,0,0,4,4,0,4,2,2,2,1,1,1,1,1,1,1,1,4,Bernice Bousquet,3,4,1.3333333333333333,DotNet,Mobile,Java,English,Malayalam,Hindi,1,0,1,1,1,0
9,1,1,1,1,1,1,0,1,1,1,1,2,2,4,4,4,4,0,0,1,William Berger,2,5,2.5,JS,DotNet,AI,English,Tamil,Malayalam,1,2,1,1,0,0
10,3,3,3,3,0,0,0,1,1,1,1,0,0,2,2,2,2,1,1,0,Kennith Hamilton,3,8,2.6666666666666665,Mobile,ML,JS,English,Kannada,Telugu,0,2,3,3,0,0
11,3,3,3,3,0,0,0,1,1,1,1,1,1,4,4,4,4,2,2,0,Shannon Berryhill,7,17,2.4285714285714284,JS,ML,Mobile,English,Japenese,Tamil,2,3,4,7,0,1
12,1,1,1,1,1,1,0,1,3,3,3,1,1,1,1,1,1,1,1,1,Rachel Morse,3,6,2.0,DotNet,Java,JS,English,Telugu,Chinese,2,1,0,1,0,2
13,1,1,1,1,0,0,0,1,4,4,4,1,1,2,2,2,2,1,1,0,Robert Wilson,11,8,0.7272727272727273,Java,Mobile,JS,English,Telugu,Kannada,2,1,1,4,0,0
14,1,1,1,1,0,0,0,1,1,1,1,1,1,3,3,3,3,1,1,0,Shirley Mcmahon,8,6,0.75,Java,JS,ML,English,Malayalam,Hindi,1,0,4,0,0,1
15,1,1,1,1,1,1,0,1,3,3,3,1,1,1,1,1,1,2,2,1,Jeffery Parikh,6,8,1.3333333333333333,DotNet,Java,Mobile,English,Telugu,Hindi,2,1,3,1,0,1
16,3,3,3,3,1,1,0,1,2,2,2,1,1,4,4,4,4,1,1,1,Shannon Campo,18,26,1.4444444444444444,JS,ML,Java,English,Tamil,Malayalam,2,7,5,5,2,5
17,2,2,2,2,0,0,0,1,1,1,1,4,4,1,1,1,1,1,1,0,Charles Vine,15,6,0.4,AI,Mobile,ML,English,Malayalam,Telugu,2,1,2,1,0,0
18,1,1,1,1,4,4,0,4,1,1,1,1,1,3,3,3,3,2,2,4,John Peters,16,19,1.1875,DotNet,JS,Mobile,English,Malayalam,Japenese,6,1,3,3,2,4
19,3,3,3,3,1,1,0,1,4,4,4,1,1,2,2,2,2,1,1,1,Lawrence Litzenberg,21,21,1.0,Java,ML,JS,English,Chinese,Hindi,2,3,6,5,4,1
20,1,1,1,1,2,2,0,2,1,1,1,4,4,1,1,1,1,3,3,2,Michael Harpole,22,23,1.0454545454545454,AI,Mobile,DotNet,English,Kannada,Malayalam,3,1,8,5,5,1
21,4,4,4,4,2,2,0,2,1,1,1,1,1,1,1,1,1,3,3,2,Jeanne Tovar,24,27,1.125,ML,Mobile,DotNet,English,Kannada,Chinese,9,5,2,3,1,7
22,1,1,1,1,0,0,0,1,4,4,4,1,1,3,3,3,3,1,1,0,Patricia Shepherd,3,5,1.6666666666666667,Java,JS,ML,English,Telugu,Hindi,1,0,1,2,0,1
23,4,4,4,4,2,2,0,2,3,3,3,1,1,1,1,1,1,1,1,2,John Pina,6,19,3.1666666666666665,ML,Java,DotNet,English,Telugu,Kannada,2,3,3,1,4,6
24,1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,1,4,4,1,Alan Denny,15,13,0.8666666666666667,Mobile,JS,Java,English,Japenese,Hindi,3,4,0,3,2,1
25,4,4,4,4,3,3,0,3,1,1,1,2,2,1,1,1,1,1,1,3,Rogelio Singletary,19,26,1.368421052631579,ML,DotNet,AI,English,Malayalam,Tamil,2,8,7,4,2,3
26,1,0,0,0,1,1,0,1,1,1,1,2,2,3,3,3,3,1,1,1,John Trout,4,9,2.25,Mobile,JS,AI,English,Malayalam,Tamil,3,0,4,1,1,0
27,1,1,1,1,1,1,0,1,1,1,1,4,4,1,1,1,1,3,3,1,Roberta Barnes,11,6,0.5454545454545454,AI,Mobile,Java,English,Telugu,Japenese,2,1,1,0,1,1
28,2,2,2,2,0,0,0,1,1,1,1,3,3,1,1,1,1,4,4,0,Corinne Burnley,16,19,1.1875,Mobile,AI,ML,English,Japenese,Hindi,8,2,4,2,0,3
29,2,2,2,2,1,1,0,1,4,4,4,1,1,3,3,3,3,1,1,1,Sandra Matthews,13,13,1.0,Java,JS,ML,English,Chinese,Tamil,1,3,1,2,3,3
